Id,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,EducationYears,Passport,Exited
4773,Ponomarev,714,EEUU,Female,25.0,4,0.0,2,0.0,0.0,82500.84,9.0,23120817,0
4774,Gallagher,537,France,Male,39.0,3,135309.36,1,1.0,0.0,31728.86,10.6,20666338,1
4775,Sun,547,EEUU,Female,35.0,4,0.0,1,1.0,1.0,133287.73,11.5,10381796,0
4776,Brownless,715,EEUU,Male,40.0,7,0.0,1,1.0,1.0,141359.11,14.0,24358147,0
4777,Burgess,500,Italy,Male,38.0,7,0.0,2,0.0,0.0,192013.23,12.4,28642811,0
4778,Y?,662,EEUU,Male,26.0,0,0.0,2,0.0,1.0,72929.96,11.5,25429834,0
4779,Onio,718,EEUU,Male,35.0,8,0.0,2,1.0,0.0,94820.85,10.3,26237406,0
4780,Jamieson,760,France,Female,49.0,9,91502.99,1,1.0,0.0,117232.9,11.5,18270715,1
4781,Peng,497,France,Male,41.0,5,80542.81,1,0.0,0.0,88729.22,12.3,28503899,1
4782,Wilkinson,588,EEUU,Female,34.0,3,120777.88,1,1.0,1.0,131729.52,11.0,19454327,0
4783,Gorbunov,596,Italy,Male,32.0,4,0.0,2,0.0,1.0,146504.35,11.8,14746289,0
4784,Jarvis,594,Italy,Female,38.0,10,0.0,2,1.0,0.0,58332.91,12.0,10576887,0
4785,Sung,714,EEUU,Male,52.0,4,100755.66,1,1.0,1.0,186775.25,15.5,26622000,0
4786,Wall,850,EEUU,Female,40.0,0,0.0,2,1.0,0.0,1099.95,10.4,27570741,0
4787,Shaw,652,EEUU,Male,27.0,10,107303.72,2,0.0,0.0,44435.76,8.4,24677171,0
4788,Hughes,702,EEUU,Female,29.0,10,88378.6,1,1.0,0.0,88550.28,12.1,15937850,0
4789,T'ang,562,France,Male,35.0,3,142296.13,1,0.0,1.0,177112.7,13.7,23830412,0
4790,McMillan,788,Italy,Male,37.0,8,141541.25,1,0.0,0.0,66013.27,12.4,23334105,0
4791,Hughes,679,France,Male,58.0,8,125850.53,2,1.0,1.0,87008.17,13.8,15008167,0
4792,Arcuri,576,France,Male,44.0,9,119530.52,1,1.0,0.0,119056.68,12.9,25629068,1
4793,Milliner,850,France,Female,36.0,0,136980.23,2,1.0,1.0,99019.65,12.9,22375853,0
4794,Li Fonti,655,EEUU,Female,34.0,3,0.0,2,1.0,0.0,159638.77,13.6,28431236,0
4795,Biryukov,708,Italy,Male,46.0,7,68799.72,1,1.0,1.0,39704.14,12.5,14330739,0
4796,Pottinger,711,EEUU,Female,35.0,8,0.0,1,1.0,1.0,67508.01,11.0,23976344,0
4797,Fairley,760,EEUU,Male,43.0,8,121911.59,1,1.0,0.0,193312.33,14.6,22321598,0
4798,Donnelly,647,France,Female,51.0,1,119741.77,2,0.0,0.0,54954.51,12.7,15669453,1
4799,Huang,690,EEUU,Male,54.0,5,0.0,1,1.0,0.0,12847.61,11.1,25940294,1
4800,Alexander,680,EEUU,Male,23.0,5,140007.19,1,0.0,1.0,31714.08,9.4,10694657,0
4801,Andrejew,704,France,Male,27.0,5,147004.34,1,1.0,0.0,64381.33,9.7,15680184,1
4802,Heydon,849,EEUU,Female,41.0,6,0.0,2,1.0,1.0,169203.51,12.2,26939521,1
4803,Mahmood,652,EEUU,Female,80.0,4,0.0,2,1.0,1.0,188603.07,15.3,28875516,0
4804,Peavy,630,France,Female,23.0,4,137964.51,1,0.0,1.0,174570.55,9.6,17247511,0
4805,Aguirre,597,EEUU,Male,19.0,2,0.0,2,1.0,1.0,91036.74,9.1,14194508,0
4806,Nielson,600,France,Female,29.0,6,74430.1,2,1.0,1.0,96051.1,9.1,13635467,0
4807,Farnsworth,596,Italy,Male,36.0,2,0.0,2,0.0,1.0,125557.95,11.9,15499608,0
4808,Hawthorn,445,EEUU,Male,31.0,7,145056.59,1,1.0,1.0,175893.53,11.9,27170804,0
4809,Wimble,602,EEUU,Male,38.0,7,111835.94,2,1.0,0.0,124389.61,10.3,13868793,0
4810,Cartwright,647,Italy,Female,26.0,8,109958.15,1,1.0,1.0,136592.24,9.9,21839491,1
4811,Ferguson,444,EEUU,Male,45.0,6,0.0,1,1.0,0.0,130009.85,12.8,13598878,1
4812,Donaldson,504,Italy,Male,44.0,4,113522.64,1,1.0,1.0,12405.2,11.8,10794056,0
4813,Chandler,739,Italy,Male,40.0,1,109681.61,1,1.0,1.0,193321.3,13.3,16979839,0
4814,Piccio,695,France,Male,27.0,6,125552.96,1,1.0,0.0,105291.26,12.5,21649110,0
4815,Kerr,678,EEUU,Female,48.0,2,0.0,2,1.0,1.0,32301.88,11.8,28695495,0
4816,Cole,651,France,Male,34.0,2,90355.12,2,0.0,0.0,193597.94,11.2,14671706,0
4817,Hsueh,735,Italy,Male,39.0,1,60374.98,1,1.0,0.0,40223.74,12.1,20678672,0
4818,Lettiere,739,Italy,Female,40.0,8,0.0,1,1.0,0.0,167030.51,14.1,23071827,0
4819,Dellucci,773,EEUU,Male,45.0,8,96877.21,1,1.0,1.0,113950.51,11.8,14253221,0
4820,Fan,785,EEUU,Female,39.0,1,130147.98,1,1.0,0.0,163798.41,13.8,19519780,1
4821,Palerma,606,France,Male,40.0,1,144757.97,2,1.0,1.0,166656.18,13.7,20586026,0
4822,Rossi,647,Italy,Female,44.0,5,0.0,3,1.0,1.0,174205.22,12.7,28583264,1
4823,Craig,612,EEUU,Female,43.0,4,139496.35,2,1.0,1.0,77128.23,13.0,14170509,0
4824,Broadhurst,729,EEUU,Male,44.0,6,0.0,2,1.0,0.0,151733.43,12.5,25580657,0
4825,Wilson,685,EEUU,Male,33.0,6,0.0,1,1.0,0.0,58458.26,9.7,18653060,0
4826,De Luca,683,France,Female,39.0,2,47685.47,2,1.0,1.0,86019.48,11.5,14840821,0
4827,Wreford,683,EEUU,Male,31.0,2,0.0,2,0.0,1.0,77326.78,9.9,12594624,0
4828,McGregor,718,Italy,Male,28.0,6,0.0,2,1.0,0.0,146875.86,11.2,11868232,0
4829,Kelly,790,EEUU,Female,47.0,10,148636.21,1,0.0,1.0,16119.96,13.4,16177251,1
4830,Tsui,614,France,Female,35.0,6,128100.28,1,0.0,0.0,69454.24,12.5,24547273,1
4831,Pai,679,Italy,Male,33.0,4,96110.22,1,1.0,0.0,1173.23,12.0,16544681,0
4832,Traeger,712,Italy,Female,48.0,8,0.0,2,1.0,0.0,183235.33,15.3,19946938,0
4833,Colon,717,EEUU,Female,76.0,9,138489.66,1,1.0,1.0,68400.14,13.6,21912272,0
4834,Meng,642,EEUU,Male,48.0,9,118317.27,4,0.0,0.0,78702.98,12.8,11414362,1
4835,Ferri,572,EEUU,Male,33.0,9,68193.72,1,1.0,0.0,19998.31,11.5,17374802,0
4836,Mancini,680,Italy,Female,37.0,6,124140.57,2,1.0,0.0,92826.35,9.7,19584673,0
4837,Carter,836,France,Female,32.0,4,109196.67,2,1.0,0.0,55218.02,12.5,23667166,0
4838,Chienezie,523,France,Male,60.0,1,163894.35,1,0.0,1.0,57061.71,15.0,20750949,0
4839,Nazarova,544,EEUU,Female,40.0,7,0.0,1,0.0,1.0,161076.92,13.8,22370160,0
4840,Kao,752,EEUU,Male,49.0,2,78653.84,1,1.0,0.0,7698.6,10.1,18055065,0
4841,Rocher,574,EEUU,Male,34.0,1,112572.39,1,0.0,0.0,165626.6,11.9,22717295,0
4842,Romani,704,France,Female,39.0,10,102556.18,2,1.0,0.0,171971.25,13.5,12576312,1
4843,Hsiao,630,Italy,Female,49.0,1,0.0,2,0.0,1.0,162858.29,13.5,14217404,0
4844,Shaw,571,EEUU,Male,34.0,1,99325.04,2,0.0,1.0,186052.15,12.7,14296622,0
4845,Bellucci,531,EEUU,Male,37.0,7,121854.45,1,1.0,0.0,147521.35,13.7,15132340,0
4846,Ferri,554,EEUU,Female,38.0,4,137654.05,2,1.0,1.0,172629.67,10.7,17257752,0
4847,Lei,828,EEUU,Female,41.0,7,0.0,2,1.0,0.0,171378.77,12.0,12346209,0
4848,King,552,France,Male,38.0,10,132271.12,2,1.0,1.0,46562.02,10.1,10369104,0
4849,McMillan,850,France,Male,30.0,5,123210.56,2,1.0,1.0,102180.27,11.1,27766003,0
4850,Johnson,662,France,Male,30.0,5,115286.68,2,1.0,1.0,149587.92,12.4,17495365,0
4851,Edgar,595,EEUU,Male,29.0,6,150685.79,1,1.0,0.0,87771.06,10.4,13853778,0
4852,Boni,562,Italy,Female,29.0,9,120307.58,1,1.0,1.0,6795.61,11.6,27494989,0
4853,Sagese,706,Italy,Female,42.0,8,95386.82,1,1.0,1.0,75732.25,13.6,15232630,0
4854,Ibrahimova,793,EEUU,Male,35.0,2,0.0,2,1.0,1.0,79704.12,11.1,11706153,0
4855,Kung,668,France,Male,56.0,9,110993.79,1,1.0,0.0,134396.64,13.0,16408717,1
4856,Ulyanov,485,EEUU,Female,39.0,2,75339.64,1,1.0,1.0,70665.16,10.8,21679222,0
4857,Forbes,670,EEUU,Female,35.0,3,103465.02,2,1.0,1.0,174627.06,11.2,26428684,0
4858,Yen,535,Italy,Male,48.0,9,109472.47,1,1.0,0.0,157358.43,12.3,19303500,1
4859,Fraser,506,EEUU,Male,43.0,2,0.0,2,1.0,0.0,105568.6,12.0,27065401,0
4860,Cremonesi,759,Italy,Male,38.0,1,0.0,2,1.0,0.0,20778.39,9.3,21304632,0
4861,Scott,717,Italy,Male,35.0,1,0.0,3,0.0,0.0,174770.14,12.7,14854827,1
4862,McKay,760,Italy,Female,32.0,2,0.0,1,1.0,1.0,114565.35,10.5,19237305,0
4863,Romano,637,Italy,Female,54.0,5,0.0,1,0.0,1.0,150836.98,12.2,20639642,0
4864,Lawrence,499,EEUU,Male,31.0,4,0.0,1,1.0,0.0,25950.49,9.2,10873253,0
4865,White,596,EEUU,Male,47.0,6,0.0,1,1.0,0.0,74835.65,13.2,16336505,0
4866,Hsia,811,France,Male,52.0,10,76915.4,1,0.0,0.0,146359.81,12.5,25366666,1
4867,Tan,659,France,Male,34.0,9,134464.58,2,1.0,0.0,178833.34,13.0,25673834,0
4868,Giordano,615,EEUU,Male,32.0,4,0.0,2,1.0,1.0,6225.63,10.1,25090453,0
4869,Bennetts,660,EEUU,Female,32.0,0,114668.89,1,1.0,0.0,84605.0,11.3,15073233,0
4870,Combs,474,EEUU,Male,33.0,5,0.0,2,1.0,0.0,181945.52,10.3,23351520,1
4871,Chiang,621,EEUU,Male,35.0,7,87619.29,1,1.0,0.0,143.34,11.6,20163565,0
4872,Pendred,697,EEUU,Female,39.0,6,151553.19,1,1.0,1.0,44946.29,11.9,11859796,0
4873,Costa,693,EEUU,Female,38.0,3,0.0,2,0.0,0.0,78133.48,12.9,14377745,1
4874,Christie,705,France,Female,33.0,5,116765.7,1,0.0,0.0,190659.17,11.9,13766319,1
4875,Okonkwo,636,EEUU,Male,42.0,2,0.0,2,1.0,1.0,55470.78,10.3,23305209,0
4876,He,707,EEUU,Male,73.0,6,66573.17,1,1.0,1.0,62768.8,16.7,12927545,0
4877,Rice,617,EEUU,Male,41.0,7,0.0,2,0.0,1.0,14496.67,13.0,20564166,0
4878,Feng,465,Italy,Female,33.0,6,0.0,2,1.0,1.0,95500.98,10.9,23210514,0
4879,Kao,654,Italy,Male,40.0,5,105683.63,1,1.0,0.0,173617.09,13.5,16897492,0
4880,Olisaemeka,647,Italy,Male,33.0,7,121260.19,2,1.0,0.0,77216.48,11.7,14486493,0
4881,Solomon,680,Italy,Female,34.0,7,0.0,2,1.0,0.0,98949.85,11.5,19541122,0
4882,Sung,554,Italy,Female,27.0,4,0.0,2,1.0,1.0,135083.73,12.5,22118985,0
4883,Ts'ai,672,EEUU,Female,43.0,4,92599.55,2,1.0,1.0,167336.78,13.5,28736715,0
4884,Welch,779,Italy,Female,34.0,5,0.0,2,0.0,1.0,111676.63,11.9,15923470,0
4885,Fedorov,702,Italy,Male,43.0,6,116121.67,1,1.0,0.0,61602.42,12.4,25310324,0
4886,Sinclair,576,France,Male,46.0,4,137367.94,1,1.0,1.0,33450.11,13.4,10939023,0
4887,Freeman,705,Italy,Female,24.0,5,177799.83,2,0.0,0.0,79886.06,12.1,21824224,0
4888,Robertson,529,EEUU,Female,31.0,7,0.0,2,1.0,1.0,175697.87,12.6,17001445,0
4889,Thompson,659,France,Male,29.0,9,82916.48,1,1.0,1.0,84133.48,12.4,21218669,0
4890,Sun,610,France,Male,50.0,1,113957.01,2,1.0,0.0,196526.55,15.8,11679656,1
4891,Rossi,588,France,Female,40.0,10,125534.51,1,1.0,0.0,121504.18,13.0,20730862,1
4892,Freeman,722,France,Male,29.0,1,107233.85,2,1.0,0.0,24924.92,9.3,16342171,0
4893,Piazza,645,France,Male,49.0,4,160133.88,1,0.0,1.0,88391.97,10.8,22878944,0
4894,O'Sullivan,758,Italy,Female,35.0,5,0.0,2,0.0,0.0,100365.51,12.0,15625370,0
4895,Matveyev,697,EEUU,Female,38.0,1,182065.85,1,1.0,0.0,49503.5,11.8,27217564,0
4896,Crace,678,Italy,Female,49.0,1,0.0,2,1.0,1.0,102472.9,13.3,21544715,0
4897,Davis,773,Italy,Female,23.0,8,0.0,2,1.0,0.0,56759.79,9.8,27688516,0
4898,Fedorov,693,France,Male,45.0,2,116546.59,2,0.0,0.0,23140.28,10.9,22367409,1
4899,Onyekachukwu,434,EEUU,Male,41.0,4,108128.52,1,0.0,1.0,56784.11,11.6,17934662,0
4900,Chamberlain,678,Italy,Male,28.0,5,138668.18,1,1.0,1.0,54144.01,10.1,13627845,0
4901,De Salis,525,EEUU,Male,35.0,7,165358.77,1,0.0,1.0,94738.54,9.5,28610814,0
4902,L?,618,EEUU,Female,31.0,4,0.0,2,1.0,0.0,29176.04,11.0,20985854,0
4903,Chidubem,625,Italy,Female,49.0,2,80816.45,1,1.0,1.0,20018.79,10.1,16335838,0
4904,Lombardi,646,EEUU,Female,34.0,3,131283.11,1,0.0,0.0,130500.65,13.4,22650804,0
4905,Adams,441,EEUU,Male,60.0,1,140614.15,1,0.0,1.0,174381.23,15.8,27474378,0
4906,Kenenna,539,EEUU,Female,47.0,2,127286.04,2,1.0,1.0,166929.43,12.9,15623007,1
4907,Lu,811,France,Female,34.0,1,149297.19,2,1.0,1.0,186339.74,13.3,11421897,0
4908,Castiglione,667,France,Female,27.0,3,106116.5,2,1.0,0.0,3674.71,10.5,19603007,0
4909,Lorenzo,752,EEUU,Male,38.0,0,145974.79,2,1.0,1.0,137694.23,13.8,10970169,0
4910,Olejuru,643,France,Male,41.0,2,127841.52,1,1.0,0.0,172363.41,14.0,26285174,0
4911,Combes,756,EEUU,Male,28.0,8,179960.2,1,1.0,0.0,89938.08,11.9,20616549,0
4912,McVey,745,France,Male,51.0,3,99183.9,1,1.0,1.0,28922.25,14.1,23697754,0
4913,Ibrahimova,712,EEUU,Male,36.0,2,100749.5,3,0.0,0.0,70758.37,13.2,13823076,1
4914,Dean,499,EEUU,Male,35.0,10,0.0,2,1.0,0.0,10722.54,9.1,20679486,0
4915,Watson,637,France,Male,35.0,8,147127.81,2,1.0,1.0,84760.7,12.4,13720325,0
4916,Khan,692,Italy,Female,29.0,4,0.0,2,0.0,0.0,138880.24,11.3,25447641,0
4917,Koehler,677,Italy,Male,40.0,7,95312.8,1,1.0,1.0,62944.75,13.3,23296516,0
4918,Munro,508,EEUU,Male,31.0,8,72541.48,1,1.0,0.0,129803.08,11.1,13457409,0
4919,Onyekachukwu,715,Italy,Male,31.0,7,0.0,1,1.0,1.0,149970.59,10.1,21580278,0
4920,Frederickson,842,France,Female,35.0,9,119948.09,1,1.0,0.0,48217.97,9.9,24589547,1
4921,McIntosh,707,Italy,Male,48.0,8,88441.64,1,1.0,1.0,119903.2,14.8,28282585,1
4922,Golubov,603,Italy,Female,39.0,5,162390.52,2,1.0,0.0,54702.66,10.4,20774983,0
4923,Fanucci,721,EEUU,Male,40.0,3,0.0,1,1.0,1.0,144874.67,11.3,21962584,0
4924,Garnsey,579,Italy,Male,37.0,4,0.0,2,1.0,1.0,32246.63,10.6,19135348,0
4925,Wan,554,EEUU,Male,31.0,1,0.0,2,0.0,1.0,192660.55,12.4,11303453,0
4926,Howells,564,EEUU,Female,53.0,2,45472.28,1,1.0,1.0,41055.71,10.8,18627095,1
4927,Sun,715,EEUU,Male,37.0,9,165252.52,1,1.0,0.0,85286.3,12.7,21219987,0
4928,H?,621,Italy,Male,41.0,5,104631.67,1,1.0,1.0,95551.22,13.7,26459903,0
4929,Lewis,537,EEUU,Male,28.0,3,157842.07,1,1.0,0.0,86911.49,12.4,12552271,0
4930,Norton,588,France,Male,49.0,6,132623.76,3,1.0,0.0,36292.94,12.6,20091445,1
4931,K'ung,653,EEUU,Female,40.0,0,0.0,2,1.0,0.0,35795.85,12.0,19800180,0
4932,Charlton,674,France,Male,34.0,2,152797.9,1,1.0,0.0,175709.4,13.4,16195393,1
4933,Calabresi,657,Italy,Male,31.0,3,125167.02,1,0.0,0.0,98820.39,10.1,22113559,0
4934,Capon,727,Italy,Male,71.0,8,0.0,1,1.0,1.0,198446.91,14.8,17077028,1
4935,Kelly,530,Italy,Female,36.0,7,0.0,2,1.0,0.0,80619.09,12.7,12060136,0
4936,Dellucci,753,EEUU,Female,62.0,6,0.0,2,1.0,1.0,136398.9,14.2,12018988,0
4937,Halpern,669,EEUU,Female,44.0,8,96418.09,1,0.0,0.0,131609.48,13.2,24563547,1
4938,Rizzo,831,EEUU,Female,34.0,2,0.0,2,0.0,0.0,165840.94,12.9,23533443,0
4939,Akabueze,618,France,Female,29.0,10,100315.1,2,1.0,1.0,32526.64,10.9,14589991,0
4940,Hartley,620,EEUU,Male,32.0,7,0.0,2,1.0,1.0,34665.79,11.6,10060227,0
4941,Genovesi,632,EEUU,Female,44.0,3,133793.89,1,1.0,1.0,34607.14,11.9,11918589,1
4942,Chu,460,France,Female,40.0,6,119507.58,2,1.0,0.0,91560.63,11.7,18894056,1
4943,Maclean,675,Italy,Male,36.0,3,54098.18,2,0.0,1.0,54478.52,12.2,27753870,0
4944,Udegbulam,684,EEUU,Female,43.0,7,0.0,2,1.0,0.0,131093.99,12.5,26412586,0
4945,T'ien,582,EEUU,Female,43.0,5,153313.67,1,0.0,0.0,170563.73,14.0,28485942,0
4946,Ugoji,813,EEUU,Female,62.0,10,64667.95,2,0.0,1.0,140454.14,15.4,27813628,0
4947,Liebe,741,EEUU,Male,32.0,8,0.0,2,1.0,0.0,143598.7,12.9,14494407,0
4948,Harvey,691,EEUU,Male,38.0,7,0.0,2,0.0,0.0,81617.4,11.8,27731228,0
4949,Griffin,630,EEUU,Female,28.0,1,0.0,2,1.0,1.0,133267.78,11.1,12267639,0
4950,Humphries,493,EEUU,Female,36.0,5,148667.81,2,1.0,0.0,56092.51,10.1,16506365,0
4951,Heath,705,EEUU,Female,38.0,3,123894.43,1,1.0,0.0,21177.1,11.2,11859360,0
4952,Padovesi,418,EEUU,Male,35.0,7,0.0,2,1.0,1.0,88878.15,12.5,18722659,0
4953,Taylor,546,Italy,Male,25.0,7,127728.24,2,1.0,1.0,105279.74,10.2,10379762,0
4954,Toscano,481,EEUU,Female,39.0,6,0.0,1,1.0,1.0,24677.54,12.2,11395855,0
4955,Kane,606,EEUU,Male,32.0,5,83161.65,1,1.0,1.0,116885.59,9.6,13829342,0
4956,Maclean,501,EEUU,Female,34.0,5,0.0,1,1.0,0.0,27380.99,10.9,22786650,0
4957,Toscano,518,France,Female,35.0,8,141665.63,1,0.0,1.0,192776.64,12.4,22341711,0
4958,Ts'ai,666,EEUU,Male,51.0,2,148222.65,1,0.0,0.0,156953.54,15.1,25110980,1
4959,Parkes,540,EEUU,Male,22.0,4,0.0,3,1.0,1.0,186233.26,10.7,15536474,1
4960,Costa,537,EEUU,Female,41.0,0,0.0,2,0.0,1.0,175262.49,13.5,16387657,0
4961,Stevenson,546,France,Female,42.0,9,86351.85,2,1.0,0.0,57380.13,11.8,11514998,0
4962,Manfrin,564,France,Female,33.0,2,115761.51,1,0.0,1.0,112350.21,11.5,27925566,1
4963,Arcuri,682,EEUU,Female,43.0,5,125851.93,1,1.0,1.0,193318.33,11.8,15344642,0
4964,Fleming,350,EEUU,Female,60.0,3,0.0,1,0.0,0.0,113796.15,13.0,11861013,1
4965,Ignatyeva,532,EEUU,Male,36.0,4,0.0,2,1.0,1.0,132798.78,10.7,23609636,0
4966,Tien,560,EEUU,Female,27.0,5,0.0,2,1.0,0.0,131919.48,9.4,12168551,0
4967,Ko,598,France,Female,46.0,7,131769.04,1,0.0,0.0,184980.23,12.6,28782961,1
4968,Spencer,731,EEUU,Female,47.0,1,115414.19,3,0.0,0.0,191734.67,12.6,27223707,1
4969,Yashina,618,EEUU,Male,37.0,2,168178.21,2,0.0,1.0,101273.23,10.6,14367893,0
4970,Oleary,806,EEUU,Male,40.0,5,80613.93,1,1.0,1.0,142838.64,12.6,12016490,0
4971,Wang,569,Italy,Male,43.0,8,161546.68,2,0.0,1.0,178187.28,12.6,22357195,0
4972,Ignatyev,535,EEUU,Female,40.0,8,0.0,1,1.0,1.0,27689.77,10.2,11023649,0
4973,Somadina,658,France,Male,29.0,5,75395.53,2,0.0,1.0,54914.92,11.8,15428765,0
4974,Genovese,545,Italy,Female,32.0,4,0.0,1,1.0,0.0,94739.2,9.7,14369897,0
4975,Koger,459,Italy,Female,42.0,6,129634.25,2,1.0,1.0,177683.02,14.0,16704229,1
4976,Ferri,688,EEUU,Female,51.0,5,0.0,1,1.0,0.0,91624.11,11.6,18029846,1
4977,Alleyne,645,EEUU,Male,44.0,10,0.0,2,0.0,1.0,166707.22,13.5,15293264,0
4978,Russell,739,Italy,Male,38.0,0,128366.44,1,1.0,0.0,12796.43,10.7,16769196,0
4979,Hansen,785,EEUU,Male,55.0,5,0.0,2,1.0,1.0,7008.65,14.0,27142157,0
4980,Igwebuike,733,Italy,Female,38.0,5,0.0,2,1.0,1.0,1271.51,10.2,17949314,0
4981,Watson,622,France,Female,34.0,7,98675.74,1,1.0,0.0,138906.85,13.4,23799692,1
4982,Hao,723,France,Male,52.0,5,131694.97,1,0.0,1.0,92873.5,15.0,11290228,1
4983,Miller,524,Italy,Male,29.0,3,159035.45,1,1.0,0.0,2705.31,8.9,27022552,1
4984,Rowe,620,EEUU,Male,36.0,8,0.0,2,1.0,1.0,145937.99,11.6,14176976,0
4985,Disher,540,Italy,Male,28.0,8,0.0,2,0.0,0.0,197588.32,12.2,25524425,0
4986,Napolitani,513,Italy,Female,41.0,9,107135.04,2,1.0,1.0,160546.58,11.0,17323587,0
4987,Sopuluchukwu,744,Italy,Male,36.0,2,153804.44,1,1.0,1.0,87213.33,9.8,13683096,0
4988,Collins,850,Italy,Female,39.0,10,0.0,2,1.0,1.0,143030.09,13.9,15109605,0
4989,Geach,644,EEUU,Female,46.0,9,95441.27,1,1.0,0.0,108761.05,13.4,15198066,1
4990,Aliyeva,649,EEUU,Female,46.0,2,0.0,2,1.0,1.0,66602.7,10.7,16581809,0
4991,Paterson,573,EEUU,Male,27.0,2,128243.03,1,1.0,1.0,11631.34,10.6,17611285,0
4992,Jones,631,France,Male,37.0,9,131519.49,2,1.0,1.0,51752.18,12.3,13725360,0
4993,Paterson,605,Italy,Male,41.0,5,103154.66,1,0.0,0.0,143203.78,12.0,25156892,0
4994,Uvarov,617,Italy,Female,37.0,9,101707.8,1,1.0,0.0,123866.28,10.2,24715789,0
4995,Bianchi,649,France,Male,40.0,4,95001.33,1,0.0,1.0,123202.99,12.8,16402130,0
4996,Converse,473,EEUU,Female,39.0,9,117103.26,2,1.0,1.0,85937.52,10.9,19576908,1
4997,Nwankwo,781,France,Male,35.0,7,92526.15,2,1.0,1.0,173837.54,12.3,20198670,0
4998,Rowley,693,EEUU,Male,41.0,4,0.0,2,0.0,0.0,156381.47,13.2,23794831,0
4999,Ford,659,France,Female,32.0,3,150923.74,2,0.0,1.0,174652.51,11.4,14188879,0
5000,Chidumaga,660,EEUU,Male,38.0,7,0.0,2,0.0,1.0,146585.53,12.1,28788168,0
5001,Mao,612,France,Male,44.0,2,115163.38,1,1.0,1.0,97677.52,13.3,15049274,1
5002,Chikelu,706,Italy,Female,37.0,7,0.0,2,1.0,1.0,110899.3,11.8,18489038,0
5003,K'ung,840,EEUU,Male,30.0,8,136291.71,1,1.0,0.0,54113.38,11.3,17058023,0
5004,Fanucci,630,EEUU,Female,26.0,5,0.0,2,1.0,0.0,182612.38,12.3,11378803,0
5005,Yuan,651,France,Female,45.0,6,86714.06,1,1.0,0.0,85869.89,13.8,11588048,1
5006,Y?,623,Italy,Female,40.0,7,0.0,1,1.0,1.0,25904.12,11.4,23995533,0
5007,Lombardo,567,EEUU,Male,36.0,7,0.0,2,0.0,1.0,3896.08,11.4,17722731,0
5008,Ts'ui,765,EEUU,Male,41.0,4,124182.21,1,0.0,0.0,100153.43,12.2,13090276,0
5009,Ch'ang,624,EEUU,Female,32.0,2,79368.87,2,1.0,1.0,145471.94,13.4,21696180,0
5010,King,612,France,Female,36.0,2,130700.92,2,0.0,0.0,77592.8,10.1,18825005,0
5011,Melendez,663,Italy,Female,22.0,9,0.0,1,1.0,0.0,29135.89,8.3,13480836,1
5012,Kazantseva,707,EEUU,Female,33.0,2,58036.33,1,1.0,1.0,83335.78,10.9,11824874,0
5013,Edith,532,EEUU,Male,38.0,9,0.0,2,0.0,0.0,30583.95,12.8,10751867,0
5014,Walters,629,France,Male,35.0,7,156847.29,2,1.0,0.0,31824.29,9.5,16119842,0
5015,Fraser,655,Italy,Male,37.0,1,0.0,1,1.0,1.0,106040.97,11.0,22621619,0
5016,Storey,654,France,Female,32.0,1,114510.85,1,1.0,1.0,126143.23,11.6,25050613,0
5017,Sun,680,EEUU,Female,47.0,5,0.0,2,1.0,1.0,179843.33,12.4,27176213,0
5018,Pokrovsky,671,EEUU,Female,48.0,6,119769.77,1,0.0,1.0,66032.65,13.9,10875546,0
5019,Steele,653,EEUU,Female,42.0,1,0.0,2,1.0,1.0,5768.32,9.6,21788338,0
5020,Lucas,687,France,Male,38.0,4,117633.28,1,0.0,1.0,88396.6,10.2,18412448,0
5021,Henderson,620,Italy,Male,44.0,8,0.0,2,1.0,1.0,15627.51,10.1,22578468,0
5022,Brady,534,Italy,Male,34.0,5,170600.78,1,0.0,1.0,5240.53,11.9,17845412,0
5023,Scott,763,EEUU,Female,53.0,4,0.0,1,1.0,0.0,77203.72,14.9,22139055,1
5024,Sunderland,850,EEUU,Male,63.0,8,169832.57,1,0.0,0.0,184107.26,14.9,25348125,1
5025,Wood,813,EEUU,Male,29.0,6,0.0,1,1.0,0.0,33953.87,12.1,12126290,0
5026,Toscano,656,EEUU,Female,75.0,3,0.0,2,1.0,1.0,1276.87,15.7,17882139,0
5027,Ch'iu,572,EEUU,Female,30.0,6,0.0,1,0.0,1.0,175025.27,13.5,11041842,0
5028,Fleming,642,Italy,Female,33.0,9,0.0,2,1.0,1.0,150475.14,12.6,27575403,0
5029,Chukwukere,629,EEUU,Female,39.0,10,0.0,2,1.0,1.0,43174.49,10.6,12436888,1
5030,Davies,611,EEUU,Female,46.0,5,0.0,1,1.0,0.0,77677.14,13.2,16067514,1
5031,Lablanc,704,EEUU,Male,36.0,3,114370.41,1,0.0,1.0,66810.48,11.3,21381520,0
5032,Hurst,607,EEUU,Female,49.0,9,119960.29,2,1.0,0.0,103068.22,13.8,23494729,0
5033,Trevisani,538,EEUU,Female,62.0,3,75051.49,1,0.0,0.0,17682.02,15.2,11771216,1
5034,Vasiliev,705,EEUU,Female,24.0,7,100169.51,1,1.0,0.0,121408.55,11.1,12617139,0
5035,Weller,751,EEUU,Male,29.0,10,147737.63,1,0.0,1.0,94951.27,9.4,17032008,0
